bench_id,num_threads,chunk_byte_size,qrect_name,tile_size_x,tile_size_y,number_of_tiles,init_time_ms,query_time_ms,stream_time_ms
gdal_source,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,0,0,152
gdal_source,8,18446744073709551615,World in 72000x36000 pixels,512,512,10224,0,0,396
expression a+b,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,0,0,1331
gdal source + projection identity,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,31,16,59397
projection 4326 -> 3857,1,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,29,23,128267
projection 4326 -> 3857,4,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,22,17,64500
projection 4326 -> 3857,8,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,21,17,77996
projection 4326 -> 3857,16,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,22,16,70648
projection 4326 -> 3857,32,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,24,17,69562
