bench_id,num_threads,chunk_byte_size,qrect_name,tile_size_x,tile_size_y,number_of_tiles,init_time_ms,query_time_ms,stream_time_ms
gdal_source,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,0,0,179
gdal_source,8,18446744073709551615,World in 72000x36000 pixels,512,512,10224,0,0,509
expression a+b,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,0,0,1464
gdal source + projection identity,8,18446744073709551615,World in 36000x18000 pixels,512,512,2592,21,17,54825
projection 4326 -> 3857,1,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,22,18,133583
projection 4326 -> 3857,4,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,23,18,65101
projection 4326 -> 3857,8,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,17,16,69310
projection 4326 -> 3857,16,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,18,17,68701
projection 4326 -> 3857,32,18446744073709551615,World in EPSG:3857 ~ 40000 x 20000 px,512,512,2888,26,24,68357
